product_series,state,form_name,file_name,new_business,customer_service,individual_plan,group_plan,,order,download,descriptionTerm,Alabama,1597-NI,1597-NI.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,	Life Insurance Buyer's Guide
Term,Alabama,2946-D,2946-D.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1,1,	Lifetime Advantage Acceptance & Disclosure Statement
Term,Alabama,3066,3066%208-14.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,2,2,	Surrender Request Form (Internal Replacement) Form 3066
Term,Alabama,3068,3068%209-14fix.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3,3,	Corporate Authorization Form and Idemnification Agreement
Term,Alabama,4030,4030%20Rev.%20712.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,4,	Authorization Agreement for Direct Payments (ACH Debits) Use to authorize direct payments from the account of your choice to make a purchase or premium payment on your policy/contract. This form may be returned via fax.
Term,Alabama,4035-TIA,4035-TIA%208-13.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,5,5,	Temporary Life Insurance Agreement - Electronic Debit Authorization to Bind Coverage Form 4035-TIA 8/13
Term,Alabama,6230,6230.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,6,6,	Companion Case Transmittal
Term,Alabama,6237,6237%206-12.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,7,7,	List Billing Transmittal
Term,Alabama,6241,6241.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,8,8,	Questionnaire: Foreign Residence and Travel
Term,Alabama,6256-A&B-AL,6256-A&B-AL.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,9,9,	Aviation/Racing Questionnaire (For use in AL)
Term,Alabama,6404,6404.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,10,10,	HIV Testing Informed Consent
Term,Alabama,6415,6415%20Rev.%20614.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,11,11,	USA PATRIOT Act Compliance Form Per federal regulations, complete for each Annuitant/Insured; and if different than the Annuitant/Insured, for each owner, payor and assignee. This form is also required on all beneficiaries when a claim is filed. This form needs to be completed for an individual owners when requesting an ownership change or when adding an owner. An original copy is required. Please return via mail.
Term,Alabama,6420-AL,6420-AL.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,12,12,	Life Insurance Application For use in AL Effective 5/13
Term,Alabama,6437,6437%2010-12.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,13,13,	Trustee Certification
Term,Alabama,6482-STD,6482-STD%20REV%2003%2010%20eff%201%2015.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,14,14,	Verification of Existing Life Insurance or Annuities This form may be used for annuity product sales in some states. This form may be used with Form 6605 in some states.
Term,Alabama,6486-STD,6486-STD%20.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,15,15,	Important Notice: Replacement of Life Insurance or Annuities
